STATUS,MW,LogP,nHAcc,nHDon,acdAcidicPka,acdBasicPka,acdLogd,acdLogp,alogp,knownDrug,molecularFormula,molecularWeight,numRo5Violations,passesRuleOfThree,preferredCompoundName,rotatableBonds,smiles,species,stdInChiKey,synonyms,activity_comment,assay_chemblid,assay_description,assay_type,bioactivity_type,name_in_reference,operator,organism,parent_cmpd_chemblid,reference,target_chemblid,target_confidence,target_name,units,value,STATUS,SMILES_desalt,pIC50,chemblId
intermediate,316.485,4.2272,2,2,,,4.31,4.31,3.76,No,C21H32O2,316.48,0.0,No,,2.0,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34CC=C)C1CC[C@@H]2O,NEUTRAL,SKEXCOMDSMNEFW-XZXJUTCTSA-N,,Unspecified,CHEMBL865276,Binding affinity to human ERalpha,B,IC50,16,=,Homo sapiens,CHEMBL369979,"Bioorg. Med. Chem. Lett., (2006) 16:4:834",CHEMBL206,9,Estrogen receptor alpha,nM,1738.0,intermediate,C=CCC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12,5.75995022789,CHEMBL369979
intermediate,270.372,4.2613,2,1,9.6,,4.5,4.5,4.47,No,C18H22O2,270.37,0.0,No,,4.0,CCCCCC12CCC(=O)C=C1c3ccc(O)cc3C2,NEUTRAL,WFANMPSCHUWTME-UHFFFAOYSA-N,,Unspecified,CHEMBL852960,Binding affinity to ERalpha by scintillation proximity assay,B,IC50,6,=,Homo sapiens,CHEMBL381299,"Bioorg. Med. Chem. Lett., (2006) 16:13:3489",CHEMBL206,9,Estrogen receptor alpha,nM,3740.0,intermediate,CCCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,5.4271283978,CHEMBL381299
active,270.328,4.14346,3,2,9.76,,3.66,3.66,4.44,No,C17H18O3,270.32,0.0,No,,0.0,CC1Oc2c(C)c(O)ccc2c3c(C)cc(O)c(C)c13,NEUTRAL,NXVCUJCNTBPNSZ-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,55,=,Homo sapiens,CHEMBL206584,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,237.0,active,Cc1cc(O)c(C)c2c1-c1ccc(O)c(C)c1OC2C,6.62525165399,CHEMBL206584
intermediate,314.388,4.0944,2,1,13.67,1.04,3.92,3.92,4.02,No,C21H18N2O,314.38,0.0,No,,2.0,O=C1CCC2(Cc3ccccc3)Cc4c(ccc5[nH]ncc45)C2=C1,NEUTRAL,RSNGIABRBFWZKL-UHFFFAOYSA-N,,Unspecified,CHEMBL866167,Binding affinity to ERalpha L384M/M421G mutant,B,IC50,1a,=,Homo sapiens,CHEMBL212923,"J. Med. Chem., (2006) 49:18:5404",CHEMBL206,9,Estrogen receptor alpha,nM,3900.0,intermediate,O=C1C=C2c3ccc4[nH]ncc4c3CC2(Cc2ccccc2)CC1,5.40893539297,CHEMBL212923
active,346.405,4.6236,2,1,13.63,1.26,4.43,4.43,4.67,No,C22H19FN2O,346.4,0.0,No,,2.0,CC1=C2c3ccc4[nH]ncc4c3CC2(Cc5ccc(F)cc5)CCC1=O,NEUTRAL,SVRLWGHOCNZNAU-UHFFFAOYSA-N,,Unspecified,CHEMBL866167,Binding affinity to ERalpha L384M/M421G mutant,B,IC50,7b,=,Homo sapiens,CHEMBL385358,"J. Med. Chem., (2006) 49:18:5404",CHEMBL206,9,Estrogen receptor alpha,nM,82.0,active,CC1=C2c3ccc4[nH]ncc4c3CC2(Cc2ccc(F)cc2)CCC1=O,7.08618614762,CHEMBL385358
active,431.576,5.4543,4,2,10.3,8.7,2.63,3.92,5.76,No,C28H33NO3,431.57,1.0,No,,11.0,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCO)/c2ccccc2)\c3ccc(O)cc3,BASE,KRPGZUBOFAMQPA-DQSJHHFOSA-N,,Unspecified,CHEMBL867062,Displacement of [3H]estradiol from ERalpha,B,IC50,16,=,Homo sapiens,CHEMBL383533,"Bioorg. Med. Chem. Lett., (2006) 16:4:821",CHEMBL206,9,Estrogen receptor alpha,nM,79.0,active,CN(C)CCOc1ccc(C(=C(CCCCO)c2ccccc2)c2ccc(O)cc2)cc1,7.10237290871,CHEMBL383533
active,328.364,3.7084,5,3,7.52,,3.61,4.0,4.02,No,C19H20O5,328.36,0.0,No,,3.0,CC(C)Cc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c3ccc(O)cc3,NEUTRAL,ZYVQEHNABDHJGN-KRWDZBQOSA-N,8-(2-Methylpropyl)Naringenin,Unspecified,CHEMBL909843,Displacement of [3H]E2 from human recombinant ERalpha LBD by SPA,B,IC50,8h,=,Homo sapiens,CHEMBL219577,"J. Med. Chem., (2006) 49:25:7357",CHEMBL206,9,Estrogen receptor alpha,nM,80.0,active,CC(C)Cc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O,7.09691001301,CHEMBL219577
active,525.693,6.0852,4,3,10.1,8.71,2.6,3.94,6.71,No,C33H39N3O3,525.68,2.0,No,,11.0,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c([nH]c3cc(OCCN4CCCCC4)ccc23)c5ccccc5,BASE,FACGWONUFWMXPN-XMMPIXPASA-N,,Unspecified,CHEMBL886514,Displacement of [3H]estradiol from full length human recombinant ERalpha after 3 hrs by scintillation proximity assay,B,IC50,11f,=,Homo sapiens,CHEMBL241303,"Bioorg. Med. Chem. Lett., (2007) 17:8:2322",CHEMBL206,9,Estrogen receptor alpha,nM,8.0,active,CC(CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2cc(OCCN3CCCCC3)ccc12,8.09691001301,CHEMBL241303
active,615.818,7.6069,5,2,10.1,8.68,6.62,7.91,8.5,No,C40H45N3O3,615.8,2.0,No,,13.0,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc2c(c3ccccc3)n(Cc4ccc(OCCN5CCCCC5)cc4)c6ccccc26,BASE,TYMRGXPQAWWLJN-SSEXGKCCSA-N,,Unspecified,CHEMBL886514,Displacement of [3H]estradiol from full length human recombinant ERalpha after 3 hrs by scintillation proximity assay,B,IC50,12e,=,Homo sapiens,CHEMBL240227,"Bioorg. Med. Chem. Lett., (2007) 17:8:2322",CHEMBL206,9,Estrogen receptor alpha,nM,20.0,active,CC(CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccccc12,7.69897000434,CHEMBL240227
intermediate,318.501,4.141,2,2,,,5.04,5.04,3.89,No,C21H34O2,318.49,0.0,No,,0.0,C[C@]12CC[C@H]3[C@@H](CC[C@H]4[C@H]5CCC[C@@]34CC[C@@H]5O)[C@@H]1CC[C@@H]2O,NEUTRAL,RVZRQANWKGYGJQ-ZMUHBEBRSA-N,,Unspecified,CHEMBL886321,Binding affinity to human recombinant ERalpha by scintillation proximity assay,B,IC50,9,=,Homo sapiens,CHEMBL393278,"Bioorg. Med. Chem. Lett., (2007) 17:10:2944",CHEMBL206,9,Estrogen receptor alpha,nM,4990.0,intermediate,CC12CCC3C(CCC4C5CCCC43CCC5O)C1CCC2O,5.30189945438,CHEMBL393278
active,459.586,5.9835,5,2,9.9,8.65,3.9,5.17,6.12,No,C29H33NO4,459.58,1.0,No,,6.0,C[C@H]1[C@@H]([C@@H](Oc2cc(O)ccc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,BASE,QZFNCDFOOSETTB-FXAGJUNHSA-N,,Unspecified,CHEMBL831077,Inhibition of estrogen receptor alpha,B,IC50,3a,=,Homo sapiens,CHEMBL362428,"Bioorg. Med. Chem. Lett., (2005) 15:6:1675",CHEMBL206,9,Estrogen receptor alpha,nM,0.66,active,CC1c2ccc(O)cc2OC(c2ccc(OCCN3CCCCC3)cc2)C1c1ccc(O)cc1,9.18045606446,CHEMBL362428
intermediate,406.907,6.609,2,2,6.49,,5.81,7.17,7.31,Yes,C13H6Cl6O2,406.9,1.0,No,HEXACHLOROPHENE,2.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,ACID,ACGUYXCXAPNIKK-UHFFFAOYSA-N,"Pre-op,TURGEX,HEXACHLOROPHENE,Hexa-germ,GAMOPHEN,PHISOHEX,SEPTISOL,Germa-medica,Hexachlorophene,Phiso-scrub,Germa-medica ""mg"",Hexascrub,Pre-op ii,Scrubteam surgical spongebrush,Soy-dome,Septi-soft",Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID8139957,=,Homo sapiens,CHEMBL496,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,2161.56,intermediate,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,5.66523270493,CHEMBL496
active,477.582,4.9168,7,2,9.72,7.59,4.24,4.65,4.66,No,C27H27NO5S,477.57,0.0,No,,6.0,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CC5CO6)cc4,NEUTRAL,OYAILXOXIFBWFX-ARSTWGPPSA-N,,Unspecified,CHEMBL831071,Binding potency for human ER alpha,B,IC50,5,=,Homo sapiens,CHEMBL434525,"Bioorg. Med. Chem. Lett., (2004) 14:15:3861",CHEMBL206,9,Estrogen receptor alpha,nM,0.7,active,Oc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CC4CC3CO4)cc2)cc1,9.15490195999,CHEMBL434525
active,270.715,4.5714,2,2,8.23,,4.55,4.61,4.44,No,C16H11ClO2,270.71,0.0,No,,1.0,Oc1ccc2cc(ccc2c1)c3ccc(O)c(Cl)c3,NEUTRAL,UVRXGDFVCKYIGU-UHFFFAOYSA-N,,Unspecified,CHEMBL831155,Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor alpha expressed in Escherichia coli,B,IC50,36,=,Homo sapiens,CHEMBL365999,"J. Med. Chem., (2005) 48:12:3953",CHEMBL206,9,Estrogen receptor alpha,nM,107.0,active,Oc1ccc2cc(-c3ccc(O)c(Cl)c3)ccc2c1,6.97061622231,CHEMBL365999
active,316.154,4.0755,3,2,8.45,2.78,4.36,4.49,4.23,No,C15H10BrNO2,316.15,0.0,No,,1.0,Oc1ccc(cc1)c2cc(Br)c3cc(O)ccc3n2,NEUTRAL,XRUZUCBHVAMRMC-UHFFFAOYSA-N,,Unspecified,CHEMBL881884,Binding affinity for human Estrogen receptor alpha,B,IC50,13a,=,Homo sapiens,CHEMBL198411,"Bioorg. Med. Chem. Lett., (2005) 15:20:4520",CHEMBL206,9,Estrogen receptor alpha,nM,212.0,active,Oc1ccc(-c2cc(Br)c3cc(O)ccc3n2)cc1,6.67366413907,CHEMBL198411
active,241.246,3.21442,4,2,8.19,,3.29,3.35,3.43,No,C14H11NO3,241.24,0.0,No,,1.0,Cc1cc(ccc1O)c2noc3cc(O)ccc23,NEUTRAL,OQEKDDUAVUDQDZ-UHFFFAOYSA-N,,Unspecified,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,IC50,43,=,Homo sapiens,CHEMBL186945,"J. Med. Chem., (2004) 47:21:5021",CHEMBL206,9,Estrogen receptor alpha,nM,431.0,active,Cc1cc(-c2noc3cc(O)ccc23)ccc1O,6.36552272984,CHEMBL186945
active,262.268,3.18468,4,2,7.74,0.99,1.16,1.46,3.36,No,C16H10N2O2,262.26,0.0,No,,1.0,Oc1ccc(cc1)c2cc(C#N)c3cc(O)ccc3n2,NEUTRAL,LGNJPIOPTLOFKV-UHFFFAOYSA-N,,Unspecified,CHEMBL881884,Binding affinity for human Estrogen receptor alpha,B,IC50,15a,=,Homo sapiens,CHEMBL197667,"Bioorg. Med. Chem. Lett., (2005) 15:20:4520",CHEMBL206,9,Estrogen receptor alpha,nM,455.0,active,N#Cc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,6.34198860334,CHEMBL197667
intermediate,306.446,2.6434,3,3,,,1.97,1.97,2.15,No,C19H30O3,306.44,0.0,No,,1.0,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34CO)C1CC[C@@H]2O,NEUTRAL,KPTQFNUKAKVGSS-JFBBCUFTSA-N,,Unspecified,CHEMBL865276,Binding affinity to human ERalpha,B,IC50,23,=,Homo sapiens,CHEMBL382632,"Bioorg. Med. Chem. Lett., (2006) 16:4:834",CHEMBL206,9,Estrogen receptor alpha,nM,6324.0,intermediate,CC12CCC3C(CC=C4CC(O)CCC43CO)C1CCC2O,5.19900813874,CHEMBL382632
intermediate,252.269,3.60322,3,1,9.22,,3.77,3.78,3.75,No,C16H12O3,252.26,0.0,No,,1.0,Cc1c(O)ccc2c1OC(=O)c3cc(C=C)ccc23,NEUTRAL,ARPCLDLOZVEXFP-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,5,=,Homo sapiens,CHEMBL206440,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,4590.0,intermediate,C=Cc1ccc2c(c1)c(=O)oc1c(C)c(O)ccc12,5.33818731446,CHEMBL206440
inactive,255.273,2.85084,4,2,9.18,2.82,2.42,2.43,2.93,No,C15H13NO3,255.27,0.0,No,,0.0,Cc1c(O)ccc2c1OC(=O)c3c(C)c(N)ccc23,NEUTRAL,RDSPSMPVXHZZAS-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,12,=,Homo sapiens,CHEMBL380844,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,14300.0,inactive,Cc1c(O)ccc2c1oc(=O)c1c(C)c(N)ccc12,4.84466396253,CHEMBL380844
intermediate,333.365,2.64014,5,2,7.45,,2.48,2.75,2.59,No,C16H15NO5S,333.36,0.0,No,,2.0,Cc1c(O)ccc2c1OC(=O)c3c(C)c(NS(=O)(=O)C)ccc23,NEUTRAL,YDPNHHGRSZZASJ-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,13,=,Homo sapiens,CHEMBL383753,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,4258.0,intermediate,Cc1c(O)ccc2c1oc(=O)c1c(C)c(NS(C)(=O)=O)ccc12,5.3707943429,CHEMBL383753
active,384.023,4.48522,3,1,8.83,,4.63,4.65,4.69,No,C14H8Br2O3,384.02,0.0,No,,0.0,Cc1c(O)ccc2c1OC(=O)c3c(Br)cc(Br)cc23,NEUTRAL,XZVKALIVWLRZAJ-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,14,=,Homo sapiens,CHEMBL206406,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,597.0,active,Cc1c(O)ccc2c1oc(=O)c1c(Br)cc(Br)cc12,6.22402566887,CHEMBL206406
intermediate,319.154,4.03114,3,1,8.94,,4.45,4.47,4.43,No,C15H11BrO3,319.15,0.0,No,,0.0,Cc1cc(Br)c2c(c1)C(=O)Oc3c(C)c(O)ccc23,NEUTRAL,JOZIANFGUFWKJB-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,21,=,Homo sapiens,CHEMBL204056,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,3120.0,intermediate,Cc1cc(Br)c2c(c1)c(=O)oc1c(C)c(O)ccc12,5.50584540598,CHEMBL204056
active,363.207,4.34816,4,1,9.0,,5.35,5.36,4.9,No,C17H15BrO4,363.2,0.0,No,,1.0,COc1c(C)c(Br)c2C(=O)Oc3c(C)c(O)ccc3c2c1C,NEUTRAL,IWDLFWORFMDTLN-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,28,=,Homo sapiens,CHEMBL381697,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,225.0,active,COc1c(C)c(Br)c2c(=O)oc3c(C)c(O)ccc3c2c1C,6.64781748189,CHEMBL381697
active,256.257,2.97424,4,2,9.12,,2.99,3.01,3.44,No,C15H12O4,256.25,0.0,No,,0.0,Cc1c(O)ccc2c1OC(=O)c3c(C)c(O)ccc23,NEUTRAL,JLALBSSBYZKONR-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,29,=,Homo sapiens,CHEMBL204922,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,159.0,active,Cc1c(O)ccc2c1oc(=O)c1c(C)c(O)ccc12,6.79860287568,CHEMBL204922
active,242.23,2.66582,4,2,8.89,,2.65,2.67,2.95,No,C14H10O4,242.23,0.0,No,,0.0,Cc1c(O)ccc2c1OC(=O)c3cc(O)ccc23,NEUTRAL,JVSYWKIVBHXUKB-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,30,=,Homo sapiens,CHEMBL206600,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,654.0,active,Cc1c(O)ccc2c1oc(=O)c1cc(O)ccc12,6.18442225168,CHEMBL206600
active,256.257,2.97424,4,2,8.9,,2.99,3.01,3.44,No,C15H12O4,256.25,0.0,No,,0.0,Cc1cc(O)c(C)c2OC(=O)c3cc(O)ccc3c12,NEUTRAL,MYRBSEJLTFPTDV-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,32,=,Homo sapiens,CHEMBL206227,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,488.0,active,Cc1c(O)cc(C)c2c1oc(=O)c1cc(O)ccc12,6.311580178,CHEMBL206227
active,308.425,4.8221,2,1,13.69,1.31,5.13,5.13,4.8,No,C20H24N2O,308.42,0.0,No,,4.0,CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)CC,NEUTRAL,BRFOVRDNLUKMTR-FQEVSTJZSA-N,,Unspecified,CHEMBL868001,Binding affinity to human ERalpha,B,IC50,10,=,Homo sapiens,CHEMBL211816,"Bioorg. Med. Chem. Lett., (2006) 16:15:3896",CHEMBL206,9,Estrogen receptor alpha,nM,93.0,active,CCCCC12CCC(=O)C(CC)=C1c1ccc3[nH]ncc3c1C2,7.03151705145,CHEMBL211816
active,320.314,4.1942,2,1,13.48,0.71,4.93,4.93,3.89,No,C17H15F3N2O,320.31,0.0,No,,2.0,CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C(F)(F)F,NEUTRAL,HIMQJMWVIJRMHV-INIZCTEOSA-N,,Unspecified,CHEMBL868001,Binding affinity to human ERalpha,B,IC50,19,=,Homo sapiens,CHEMBL208929,"Bioorg. Med. Chem. Lett., (2006) 16:15:3896",CHEMBL206,9,Estrogen receptor alpha,nM,360.0,active,CCC12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,6.44369749923,CHEMBL208929
active,292.382,4.0419,2,1,13.68,1.31,4.0,4.0,3.77,No,C19H20N2O,292.37,0.0,No,,2.0,CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C5CC5,NEUTRAL,IJPBFHTWSZYEKH-IBGZPJMESA-N,,Unspecified,CHEMBL868001,Binding affinity to human ERalpha,B,IC50,21,=,Homo sapiens,CHEMBL209623,"Bioorg. Med. Chem. Lett., (2006) 16:15:3896",CHEMBL206,9,Estrogen receptor alpha,nM,470.0,active,CCC12CCC(=O)C(C3CC3)=C1c1ccc3[nH]ncc3c1C2,6.32790214206,CHEMBL209623
active,304.752,3.9673,2,1,11.54,,3.98,3.98,3.94,No,C16H14ClFN2O,304.75,0.0,No,,1.0,CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]nc(F)c4c3C2)Cl,NEUTRAL,KIPXABSMDXYYEY-INIZCTEOSA-N,,Unspecified,CHEMBL868001,Binding affinity to human ERalpha,B,IC50,33,=,Homo sapiens,CHEMBL211887,"Bioorg. Med. Chem. Lett., (2006) 16:15:3896",CHEMBL206,9,Estrogen receptor alpha,nM,82.0,active,CCC12CCC(=O)C(Cl)=C1c1ccc3[nH]nc(F)c3c1C2,7.08618614762,CHEMBL211887
intermediate,220.271,4.2124,1,1,9.54,,4.64,4.64,4.01,No,C16H12O,220.27,0.0,No,,1.0,Oc1ccc2cc(ccc2c1)c3ccccc3,NEUTRAL,PZOXFBPKKGTQDZ-UHFFFAOYSA-N,,Unspecified,CHEMBL831155,Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor alpha expressed in Escherichia coli,B,IC50,10,=,Homo sapiens,CHEMBL191714,"J. Med. Chem., (2005) 48:12:3953",CHEMBL206,9,Estrogen receptor alpha,nM,1345.0,intermediate,Oc1ccc2cc(-c3ccccc3)ccc2c1,5.87127771566,CHEMBL191714
intermediate,257.245,2.9146,5,2,7.82,9.49,1.91,2.37,2.78,No,C14H11NO4,257.24,0.0,No,,2.0,COc1cc(O)cc2nc(oc12)c3ccc(O)cc3,BASE,RJJQKEPGOIGNSZ-UHFFFAOYSA-N,,Unspecified,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,IC50,91,=,Homo sapiens,CHEMBL188792,"J. Med. Chem., (2004) 47:21:5021",CHEMBL206,9,Estrogen receptor alpha,nM,2557.0,intermediate,COc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,5.59226927197,CHEMBL188792
intermediate,258.229,2.37142,5,3,7.2,,2.29,2.72,2.71,No,C14H10O5,258.23,0.0,No,,0.0,Cc1c(O)ccc2c1OC(=O)c3c(O)c(O)ccc23,NEUTRAL,BTSYWVDWGBDSAM-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,35,=,Homo sapiens,CHEMBL204819,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,1280.0,intermediate,Cc1c(O)ccc2c1oc(=O)c1c(O)c(O)ccc12,5.89279003035,CHEMBL204819
intermediate,260.22,2.80492,4,2,7.52,,2.76,3.01,3.16,No,C14H9FO4,260.22,0.0,No,,0.0,Cc1c(O)ccc2c3ccc(O)c(F)c3OC(=O)c12,NEUTRAL,UDOXPBLYMBAGJR-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,38,=,Homo sapiens,CHEMBL206546,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,1580.0,intermediate,Cc1c(O)ccc2c1c(=O)oc1c(F)c(O)ccc12,5.80134291305,CHEMBL206546
active,270.284,3.28266,4,2,9.24,,3.33,3.35,3.92,No,C16H14O4,270.28,0.0,No,,0.0,Cc1cc(O)c(C)c2OC(=O)c3c(C)c(O)ccc3c12,NEUTRAL,YMCNZULRQVDFCL-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,43,=,Homo sapiens,CHEMBL205934,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,785.0,active,Cc1c(O)cc(C)c2c1oc(=O)c1c(C)c(O)ccc12,6.10513034325,CHEMBL205934
active,256.301,3.83504,3,2,9.76,,3.09,3.09,3.95,No,C16H16O3,256.3,0.0,No,,0.0,CC1Oc2c(C)c(O)ccc2c3ccc(O)c(C)c13,NEUTRAL,SKULOBHFUJYXEB-UHFFFAOYSA-N,,Unspecified,CHEMBL865582,Binding affinity to ERalpha,B,IC50,51,=,Homo sapiens,CHEMBL381337,"Bioorg. Med. Chem. Lett., (2006) 16:6:1468",CHEMBL206,9,Estrogen receptor alpha,nM,335.0,active,Cc1c(O)ccc2c1OC(C)c1c-2ccc(O)c1C,6.47495519296,CHEMBL381337
inactive,312.325,2.455,6,3,7.71,1.24,1.86,2.46,3.21,No,C17H16N2O4,312.32,0.0,No,,3.0,CCCc1c(O)cc2N=CN(C(=O)c2c1O)c3ccc(O)cc3,NEUTRAL,ARQDNUCTLULQBK-UHFFFAOYSA-N,,Unspecified,CHEMBL860989,Displacement of [3H]estrone from ER alpha,B,IC50,1aq,=,Homo sapiens,CHEMBL203442,"J. Med. Chem., (2006) 49:8:2440",CHEMBL206,9,Estrogen receptor alpha,nM,10649.0,inactive,CCCc1c(O)cc2ncn(-c3ccc(O)cc3)c(=O)c2c1O,4.97269117296,CHEMBL203442
active,326.352,2.8451,6,3,6.49,2.23,0.84,2.45,3.47,No,C18H18N2O4,326.35,0.0,No,,4.0,CCCCC1=Nc2cc(O)cc(O)c2C(=O)N1c3ccc(O)cc3,ACID,NTRGIKZRUCVMNQ-UHFFFAOYSA-N,,Unspecified,CHEMBL860989,Displacement of [3H]estrone from ER alpha,B,IC50,1ay,=,Homo sapiens,CHEMBL206814,"J. Med. Chem., (2006) 49:8:2440",CHEMBL206,9,Estrogen receptor alpha,nM,178.0,active,CCCCc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,6.74957999769,CHEMBL206814
inactive,282.299,2.3593,5,2,7.8,1.8,1.74,2.14,2.99,No,C16H14N2O3,282.29,0.0,No,,2.0,CCc1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,NEUTRAL,MMOVQWBRRNCTJY-UHFFFAOYSA-N,,Unspecified,CHEMBL860989,Displacement of [3H]estrone from ER alpha,B,IC50,1aan,=,Homo sapiens,CHEMBL203351,"J. Med. Chem., (2006) 49:8:2440",CHEMBL206,9,Estrogen receptor alpha,nM,13240.0,inactive,CCc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,4.8781120149,CHEMBL203351
inactive,294.31,2.83,5,2,7.49,1.49,1.96,2.56,3.05,No,C17H14N2O3,294.3,0.0,No,,2.0,CC(=C)c1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,NEUTRAL,HXWYZGZFDYRCBN-UHFFFAOYSA-N,,Unspecified,CHEMBL860989,Displacement of [3H]estrone from ER alpha,B,IC50,1aas,=,Homo sapiens,CHEMBL382698,"J. Med. Chem., (2006) 49:8:2440",CHEMBL206,9,Estrogen receptor alpha,nM,43968.0,inactive,C=C(C)c1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,4.35686328896,CHEMBL382698
active,313.715,4.58218,3,2,5.86,,2.43,4.07,4.52,No,C17H9ClFNO2,313.71,0.0,No,,1.0,Oc1ccc(cc1F)c2cc(C#N)c3c(Cl)c(O)ccc3c2,ACID,DGVWRZXKKCDNLS-UHFFFAOYSA-N,,Unspecified,CHEMBL831155,Inhibition of [3H]17-beta-estradiol binding to human estrogen receptor alpha expressed in Escherichia coli,B,IC50,50,=,Homo sapiens,CHEMBL191238,"J. Med. Chem., (2005) 48:12:3953",CHEMBL206,9,Estrogen receptor alpha,nM,299.0,active,N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)c(Cl)c12,6.52432881168,CHEMBL191238
